id,voucher_id,image_fullpath,image_croppath,pred_vessel,pred_cruise_num,pred_haul_num,pred_specimen_num,pred_stomach_sample,pred_tissue_sample,pred_right_ovary,pred_left_ovary,pred_whole_animal,pred_length_cm,pred_weight_gm,pred_species_identification,pred_comments,pred_collector_initials,pred_preservative,verified_vessel,verified_cruise_num,verified_haul_num,verified_specimen_num,verified_stomach_sample,verified_tissue_sample,verified_right_ovary,verified_left_ovary,verified_whole_animal,verified_length_cm,verified_weight_gm,verified_species_identification,verified_comments,verified_collector_initials,verified_preservative
24,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0003.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0004.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0005.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0006.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0007.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0008.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0009.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/30/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0010.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0011.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0012.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0013.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,11,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0014.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/35/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,12,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0015.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/36/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0016.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0017.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,13,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0018.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/39/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0019.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0020.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0021.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0022.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0023.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0024.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0025.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0026.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0027.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0028.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0029.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0030.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,14,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0031.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/52/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0034.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0035.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,15,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0036.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/55/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0037.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,16,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0038.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/57/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0039.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,17,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0040.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/59/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0041.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0042.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0043.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0044.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,18,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0045.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/64/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0046.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0047.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0048.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,19,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0049.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/68/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0050.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0051.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0052.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0053.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0054.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0055.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0057.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0058.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0059.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0060.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0061.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,20,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0062.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/80/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0063.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0064.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0065.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0066.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0067.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,21,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0068.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/86/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0069.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0070.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0071.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,22,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0072.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/90/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,22,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0073.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/91/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0074.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0075.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,23,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0076.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/94/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0077.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0078.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0079.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0080.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,24,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0081.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/99/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,24,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0082.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/100/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0083.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0084.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0087.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0088.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0089.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0090.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,25,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0091.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/107/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0092.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0093.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0094.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0095.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,26,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0096.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/112/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0097.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0098.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0099.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0100.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0101.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0102.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0103.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,27,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0104.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/120/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0105.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0106.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,28,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0107.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/123/cropped_form.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0108.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0109.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0110.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0111.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0112.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0113.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0114.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0115.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0116.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0117.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0118.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,Y:\RACE_Imagery\Field_Photos\AI2000\DominatorLeg1\AI_023_200001_L1_0119.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
