id,spec_col_label_id,image_fullpath,image_croppath,pred_vessel,pred_cruise_number,pred_haul_number,pred_specimen_number,pred_stomach_sample,pred_tissue_sample,pred_right_ovary,pred_left_ovary,pred_whole_animal,pred_length_cm,pred_weight_gm,pred_species_identification,pred_comments,pred_collector_initials,pred_preservative,verified_vessel,verified_cruise_number,verified_haul_number,verified_specimen_number,verified_stomach_sample,verified_tissue_sample,verified_right_ovary,verified_left_ovary,verified_whole_animal,verified_length_cm,verified_weight_gm,verified_species_identification,verified_comments,verified_collector_initials,verified_preservative
11,3,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0011.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/11/cropped_form.png,gy.,202201.,130.,"1961s,",0 0,0 0,0 0,0 0,x,"infra,",nja.,-Berinaius sp. ',comments. Nothing a live seems to match #,NEL,form.,,,,,,,,,,,,,,,
12,4,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0012.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/12/cropped_form.png,94.,2022of,132.,1961 62m.,0 0,0 0,0 0,0 0,0 0,0 0,0 0,Pandalus'eous.,comments #,yering,0 0,,,,,,,,,,,,,,,
13,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0013.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0014.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0015.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0016.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/16/cropped_form.png,94.,2052ul.,132.,1961 62m.,0 0,0,0 0,0 0,0 0,0 0,0 0,Hyas coarctatus.,comments # #,young,0 0,,,,,,,,,,,,,,,
17,5,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0017.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/17/cropped_form.png,94.,2022ul,132.,1961 62m.,0 0,0,0 0,0 0,0 0,0 1,0 0,Hyas courctatus.,comments #,young.,0 0,,,,,,,,,,,,,,,
18,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0018.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0019.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0020.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0021.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0022.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0023.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0024.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0025.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0026.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/26/cropped_form.png,0 0,202201,1925,1930s,0 0,0 0,0 0,0 0,0 0,0 1,6 1.,Dendrenoths dalli.,0 0,mec.,Four.,,,,,,,,,,,,,,,
27,7,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0027.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/27/cropped_form.png,0 0,202201,1955.,1961 62.,0 0,0 0,0 0,0 0,0 0,0 1,0 0,Deodrenalus dalli.,commercialists,mec.,fuem.,,,,,,,,,,,,,,,
28,7,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0028.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/28/cropped_form.png,0 0,2021.,1925,1961 62.,0 0,0 0,0 0,0 0,0 0,0 1,0 0,Deodrenstus dalli.,comments #,mec.,futs.,,,,,,,,,,,,,,,
29,7,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0029.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/29/cropped_form.png,0 0,202201.,15th,1961 62m.,0 0,0,0 0,0 0,0 0,0 1,0 0,Deodrenstus dalli.,commercialists,mec.,farm.,,,,,,,,,,,,,,,
30,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0030.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0031.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0032.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0033.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0034.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0035.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0036.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,8,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0037.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/37/cropped_form.png,gy.,202201,159,1961 62.,0 0,0 0,0 0,0 0,ix,0 0,0 0,Lucodes sp.,contents #,INEC.,etho.,,,,,,,,,,,,,,,
38,8,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0038.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/38/cropped_form.png,gy.,202201,159,1961 62,0 0,0 0,0 0,0,s x.,0 0,0 0,Lucodes sp.,comments #,INEC,ethr.,,,,,,,,,,,,,,,
39,8,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0039.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/39/cropped_form.png,94.,202201,159.,1961 62.,0 0,0 0,0 0,0 0,s x.,1961 62,0 0,Lucodes sp.,comments #,INEC,ethi.,,,,,,,,,,,,,,,
40,8,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0040.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/40/cropped_form.png,ahf,toat-01.,1b ).,0 0,0 0,0 0,0 0,0 0,X,13.,old.,gymnnelus Virridis,comments #,ABM.,0 0,,,,,,,,,,,,,,,
41,9,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0041.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/41/cropped_form.png,ahf,to22-01,thl.,0 0,0 0,0 0,1961 62,1961 62,1961 62,1961 62,1961 62,1961 62,1961 62,1961 62,1961 62,,,,,,,,,,,,,,,
42,10,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0042.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/42/cropped_form.png,ahf,tozz-01.,161.,1961 62.,',0 0,0 0,0 0,X,13.,told.,gymnelus Vir-dis,comments #,"ABM,",0 0,,,,,,,,,,,,,,,
43,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0043.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0044.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0045.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,11,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0046.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/46/cropped_form.png,gy.,2022ui.,167,#,0 0,0 0,0 0,0 0,0 0,0 0,0 0,Nesturrea alexiyeur.,comments #,0 0,6th,,,,,,,,,,,,,,,
47,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0047.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0048.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0049.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0050.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0051.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0052.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0053.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0054.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0055.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0056.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0057.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0058.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0059.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0060.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,12,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0061.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/61/cropped_form.png,94.,2022ui.,176,1961 62.0006000600060006000600060006000,0 0,0 0,0 0,0 0,0 0,0 0,0 0,Tereselidae.,comments #,0,0 0,,,,,,,,,,,,,,,
62,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0062.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0063.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0064.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0065.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0066.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0067.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0068.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0069.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0070.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0071.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0072.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0073.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,13,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0074.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/74/cropped_form.png,94.,2022-01,188.,November # I.,0 0,0 0,0 0,0 0,0 0,0 0,0 0,Nuculana Pernula,comments #,0 0,0 0,,,,,,,,,,,,,,,
75,,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0075.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,13,Y:\RACE_Imagery\Field_Photos\EBSshelf2022\Vesteraalen\Leg3\EBS_94_202201_L3_0076.JPG,C:\Users\daniel.woodrich\Work\Data mgmt coord\Projects\Race_data_reco/training_data/76/cropped_form.png,94.,2022-01,188.,November # I.,0 0,0 0,0 0,0 0,0 0,0 0,0 0,Nuculana Pernula,comments #,0 0,0 0,,,,,,,,,,,,,,,
